,row_index,web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,Review
112,112,1583824239-157,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Liked it,Reviewed in India on 13 February 2019,Nice,3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,[],[],[],[],[],Liked it. Nice
113,113,1583824221-77,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Biswajit M.,Really good,Reviewed in India on 4 November 2019,Must buy,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,[],[],[],[],[],Really good. Must buy
114,114,1583824211-36,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,S.MD. Musthaqeem,Nice,Reviewed in India on 1 April 2019,"Its Good, Prefer to buy at the time of offers",5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,[],[],[],[],[],"Nice. Its Good, Prefer to buy at the time of offers"
115,115,1583824252-214,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,mukesh patel,Very good,Reviewed in India on 12 August 2018,Very good and original product,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,[],"['good product', 'Very good product']",[],[],[],Very good. Very good and original product
116,116,1583824252-212,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,satarupa das,cap of this bottle opened and lots of product waste in packet,Reviewed in India on 4 June 2018,"Product quality is OK but when they delivered this product, cap of this bottle opened and lots of product waste in packet.",2.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,"[('Product quality', 'quality'), ('product waste', 'waste')]",[],[],[],[],"cap of this bottle opened and lots of product waste in packet. Product quality is OK but when they delivered this product, cap of this bottle opened and lots of product waste in packet."
117,117,1583824211-33,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pinak,"Nice consistency, cooling and refreshing",Reviewed in India on 22 April 2018,"Nice consistency,cooling and refreshing.reduces hairfall slightly as per my own experience",5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,[],"['Nice consistency', 'own experience', 'reduces slightly']",[],[],[],"Nice consistency, cooling and refreshing. Nice consistency,cooling and refreshing.reduces hairfall slightly as per my own experience"
118,118,1583824257-239,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,denish,good qulity of the shapoo,Reviewed in India on 16 March 2019,as i expect that product so i am happy to purchase from amazon  and i got only 190 this shampoo.,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews,[],[],[],[],[],good qulity of the shapoo. as i expect that product so i am happy to purchase from amazon  and i got only 190 this shampoo.
119,119,1583824252-220,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rakesh Shenoy,Good,Reviewed in India on 18 October 2019,Good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,[],[],[],[],[],Good. Good
120,120,1583824213-49,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,T V PRASAD,nice,Reviewed in India on 12 October 2019,good,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,[],[],[],[],[],nice. good
121,121,1583824257-235,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kiran,One Star,Reviewed in India on 1 May 2018,Bottle was leaking.  Spoiled other items.,1.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews,[],['other items'],[],[],[],One Star. Bottle was leaking.  Spoiled other items.
122,122,1583824245-189,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,raina,"Super se upar, best shampoo ever I used. Always recommend",Reviewed in India on 20 April 2019,"Using from last 10 years.  Still  no. 1 choice .
Hair conditioner also not required after using it!!!!
Beat shampoooò",5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews,"[('Hair conditioner', 'conditioner'), ('Beat shampoooò', 'shampoooò')]","['last years', 'not required']",[],[],[],"Super se upar, best shampoo ever I used. Always recommend. Using from last 10 years.  Still  no. 1 choice .
Hair conditioner also not required after using it!!!!
Beat shampoooò"
123,123,1583824215-60,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mohammad Javed,Awesome,Reviewed in India on 14 November 2019,Nice product,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,[],['Nice product'],[],[],[],Awesome. Nice product
124,124,1583824228-103,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ruchi,Recommended,Reviewed in India on 3 October 2018,"Very gd shampoo.. silky soft hairs ,less hair fall..",5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews,"[('gd shampoo', 'shampoo')]","['soft hairs', 'silky hairs', 'less hair']",[],[],[],"Recommended. Very gd shampoo.. silky soft hairs ,less hair fall.."
